UNIT,LESSON,AUTHOR,TITLE,TEACHER,LINK
U1,01,朱自清,春,优质课滴滴,https://www.bilibili.com/video/BV1wseizkENe/
U1,01,朱自清,春,高老师讲语文,https://www.bilibili.com/video/BV1MR4y1G7YJ/
U1,01,朱自清,春,戏 meng,https://www.bilibili.com/video/BV1cP411h7Yn/
U1,01,朱自清,春,我的眼睛是月亮,https://www.bilibili.com/video/BV1BA411n78L/
U1,04,曹操,观沧海,Dr_肉肉,https://www.bilibili.com/video/BV1LN4y1K77D/
U1,04,曹操,观沧海,Dr_肉肉,https://www.bilibili.com/video/BV1Ad4y1M7Gn/
U2,05,史铁生,秋天的怀念,郑洋,https://www.bilibili.com/video/BV1wC411j71p/
U2,05,史铁生,秋天的怀念,施媛媛,https://www.bilibili.com/video/BV1r44y1v7or/
U2,05,史铁生,秋天的怀念,孙世梅,https://www.bilibili.com/video/BV1d4411Z7mo/
U2,06,莫怀戚,散步,张晓婷,https://www.bilibili.com/video/BV1PM4y1s7UC/
U2,06,莫怀戚,散步,高阿超,https://www.bilibili.com/video/BV1SynPzhEbv/